iter	Passed	Remaining
0	1	102
1	2	120
2	3	125
3	4	115
4	6	116
5	7	112
6	8	111
7	9	111
8	10	111
9	12	110
10	13	111
11	15	112
12	16	109
13	17	107
14	18	107
15	20	107
16	22	107
17	23	106
18	24	104
19	25	103
20	27	102
21	28	100
22	29	99
23	30	98
24	32	98
25	34	99
26	37	100
27	38	99
28	40	98
29	41	97
30	42	95
31	44	93
32	44	91
33	45	88
34	46	86
35	47	84
36	48	82
37	49	80
38	49	77
39	50	75
40	51	73
41	51	71
42	52	69
43	53	68
44	54	66
45	55	65
46	56	63
47	56	61
48	57	59
49	58	58
50	58	56
51	59	54
52	60	53
53	60	51
54	61	49
55	61	48
56	62	47
57	62	45
58	63	44
59	64	42
60	64	41
61	65	40
62	66	38
63	66	37
64	67	36
65	68	35
66	68	33
67	69	32
68	70	31
69	70	30
70	71	29
71	71	27
72	72	26
73	73	25
74	73	24
75	74	23
76	75	22
77	75	21
78	76	20
79	77	19
80	77	18
81	78	17
82	79	16
83	79	15
84	80	14
85	80	13
86	81	12
87	82	11
88	82	10
89	83	9
90	84	8
91	84	7
92	85	6
93	86	5
94	86	4
95	87	3
96	88	2
97	88	1
98	89	0
99	89	0
